,interest,vaccancy,cpi,price,value,adj_price
2008-02-02,5.68,10.1,212.174,238000.0,224141.4153943517,112172.08517537493
2008-02-09,5.67,10.1,212.687,236000.0,224141.4153943517,110961.17769304187
2008-02-16,5.72,10.1,212.687,235000.0,224141.4153943517,110491.0032112917
2008-02-23,6.04,10.1,212.687,245000.0,224141.4153943517,115192.74802879347
2008-03-01,6.24,10.1,212.687,244500.0,225551.3181219915,114957.6607879184
2008-03-08,6.03,10.1,213.448,231500.0,225551.3181219915,108457.32918556275
2008-03-15,6.13,10.1,213.448,235000.0,225551.3181219915,110097.07282335743
2008-03-22,5.87,10.1,213.448,235000.0,225551.3181219915,110097.07282335743
2008-03-29,5.85,10.1,213.448,244000.0,225551.3181219915,114313.55646340092
2008-04-05,5.88,10.0,213.942,255000.0,222863.3546813232,119191.18265698181
2008-04-12,5.88,10.0,213.942,237250.0,222863.3546813232,110894.54151125072
2008-04-19,5.88,10.0,213.942,230000.0,222863.3546813232,107505.77259257181
2008-04-26,6.03,10.0,213.942,237500.0,222863.3546813232,111011.39561189481
2008-05-03,6.06,10.0,215.208,235000.0,225146.873765738,109196.68413813613
2008-05-10,6.05,10.0,215.208,244000.0,225146.873765738,113378.68480725624
2008-05-17,6.01,10.0,215.208,238500.0,225146.873765738,110823.01773168283
2008-05-24,5.98,10.0,215.208,249000.0,225146.873765738,115702.01851232296
2008-05-31,6.08,10.0,215.208,236000.0,225146.873765738,109661.35087914947
2008-06-07,6.09,10.0,217.463,248000.0,224824.92816536452,114042.38882016712
2008-06-14,6.32,10.0,217.463,241250.0,224824.92816536452,110938.4125115537
2008-06-21,6.42,10.0,217.463,250000.0,224824.92816536452,114962.08550420072
2008-06-28,6.45,10.0,217.463,255000.0,224824.92816536452,117261.32721428473
2008-07-05,6.35,9.9,219.016,255000.0,225900.48913381464,116429.84987398182
2008-07-12,6.37,9.9,219.016,256000.0,225900.48913381464,116886.43752054645
2008-07-19,6.26,9.9,219.016,255000.0,225900.48913381464,116429.84987398182
2008-07-26,6.63,9.9,219.016,256250.0,225900.48913381464,117000.5844321876
2008-08-02,6.52,9.9,219.016,254500.0,223192.92926062227,116201.5560506995
2008-08-09,6.52,9.9,218.69,250000.0,223192.92926062227,114317.06982486625
2008-08-16,6.52,9.9,218.69,249000.0,223192.92926062227,113859.80154556678
2008-08-23,6.47,9.9,218.69,250000.0,223192.92926062227,114317.06982486625
2008-08-30,6.4,9.9,218.69,260000.0,223192.92926062227,118889.75261786091
2008-09-06,6.35,9.9,218.877,250000.0,222183.89284506475,114219.4017644613
2008-09-13,5.93,9.9,218.877,245000.0,222183.89284506475,111935.01372917207
2008-09-20,5.78,9.9,218.877,241500.0,222183.89284506475,110335.94210446964
2008-09-27,6.09,9.9,218.877,237500.0,222183.89284506475,108508.43167623825
2008-10-04,6.1,10.1,216.995,235000.0,218018.5808275112,108297.42620797714
2008-10-11,5.94,10.1,216.995,229500.0,218018.5808275112,105762.80559459895
2008-10-18,6.46,10.1,216.995,225500.0,218018.5808275112,103919.44514850572
2008-10-25,6.04,10.1,216.995,235000.0,218018.5808275112,108297.42620797714
2008-11-01,6.46,10.1,216.995,229000.0,213843.92511693167,105532.38553883729
2008-11-08,6.2,10.1,213.153,230000.0,213843.92511693167,107903.71235685165
2008-11-15,6.14,10.1,213.153,231900.0,213843.92511693167,108795.09085023435
2008-11-22,6.04,10.1,213.153,227000.0,213843.92511693167,106496.27263045793
2008-12-06,5.53,10.1,211.398,220000.0,209168.9030891328,104069.10188365076
2008-12-13,5.47,10.1,211.398,220000.0,209168.9030891328,104069.10188365076
2008-12-20,5.19,10.1,211.398,224000.0,209168.9030891328,105961.2673724444
2009-01-03,5.1,10.1,211.933,213000.0,202103.541480284,100503.46099946681
2009-01-10,5.01,10.1,211.933,218000.0,202103.541480284,102862.69717316322
2009-01-17,4.96,10.1,211.933,212750.0,202103.541480284,100385.499190782
2009-01-24,5.12,10.1,211.933,214500.0,202103.541480284,101211.23185157574
2009-01-31,5.1,10.1,211.933,211500.0,202103.541480284,99795.69014735789
2009-02-07,5.25,10.1,212.705,210500.0,198778.67517479448,98963.35300063467
