,interest,vaccancy,cpi,price,value,adj_price
2008-02-02,5.68,10.1,212.174,183000.0,183137.92841253692,86249.96465165383
2008-02-09,5.67,10.1,212.687,179900.0,183137.92841253692,84584.38926685693
2008-02-16,5.72,10.1,212.687,180000.0,183137.92841253692,84631.40671503195
2008-02-23,6.04,10.1,212.687,175000.0,183137.92841253692,82280.53430628106
2008-03-01,6.24,10.1,212.687,182000.0,181908.3676417784,85571.75567853231
2008-03-08,6.03,10.1,213.448,180000.0,181908.3676417784,84329.67280086952
2008-03-15,6.13,10.1,213.448,185000.0,181908.3676417784,86672.1637120048
2008-03-22,5.87,10.1,213.448,186000.0,181908.3676417784,87140.66189423185
2008-03-29,5.85,10.1,213.448,186500.0,181908.3676417784,87374.91098534537
2008-04-05,5.88,10.0,213.942,185000.0,181204.5164998164,86472.03447663385
2008-04-12,5.88,10.0,213.942,185000.0,181204.5164998164,86472.03447663385
2008-04-19,5.88,10.0,213.942,186900.0,181204.5164998164,87360.12564152901
2008-04-26,6.03,10.0,213.942,184000.0,181204.5164998164,86004.61807405745
2008-05-03,6.06,10.0,215.208,186000.0,180897.3680161051,86428.01382848222
2008-05-10,6.05,10.0,215.208,185000.0,180897.3680161051,85963.34708746886
2008-05-17,6.01,10.0,215.208,187500.0,180897.3680161051,87125.01394000223
2008-05-24,5.98,10.0,215.208,186000.0,180897.3680161051,86428.01382848222
2008-05-31,6.08,10.0,215.208,191000.0,180897.3680161051,88751.34753354893
2008-06-07,6.09,10.0,217.463,187000.0,180595.9676151968,85991.63995714214
2008-06-14,6.32,10.0,217.463,190000.0,180595.9676151968,87371.18498319254
2008-06-21,6.42,10.0,217.463,195000.0,180595.9676151968,89670.42669327656
2008-06-28,6.45,10.0,217.463,195500.0,180595.9676151968,89900.35086428496
2008-07-05,6.35,9.9,219.016,194000.0,180090.96644109892,88578.00343353911
2008-07-12,6.37,9.9,219.016,195000.0,180090.96644109892,89034.59108010374
2008-07-19,6.26,9.9,219.016,195000.0,180090.96644109892,89034.59108010374
2008-07-26,6.63,9.9,219.016,190000.0,180090.96644109892,86751.65284728057
2008-08-02,6.52,9.9,219.016,190650.0,178535.2511268685,87048.43481754758
2008-08-09,6.52,9.9,218.69,185000.0,178535.2511268685,84594.63167040102
2008-08-16,6.52,9.9,218.69,190000.0,178535.2511268685,86880.97306689835
2008-08-23,6.47,9.9,218.69,188000.0,178535.2511268685,85966.43650829942
2008-08-30,6.4,9.9,218.69,190000.0,178535.2511268685,86880.97306689835
2008-09-06,6.35,9.9,218.877,179900.0,176783.60235386572,82192.28150970636
2008-09-13,5.93,9.9,218.877,183063.0,176783.60235386572,83637.38538083032
2008-09-20,5.78,9.9,218.877,181000.0,176783.60235386572,82694.84687746999
2008-09-27,6.09,9.9,218.877,178000.0,176783.60235386572,81324.21405629645
2008-10-04,6.1,10.1,216.995,178900.0,174674.90451060314,82444.29595151963
2008-10-11,5.94,10.1,216.995,177500.0,174674.90451060314,81799.11979538699
2008-10-18,6.46,10.1,216.995,180000.0,174674.90451060314,82951.22007419525
2008-10-25,6.04,10.1,216.995,176000.0,174674.90451060314,81107.85962810203
2008-11-01,6.46,10.1,216.995,180000.0,171957.40463474471,82951.22007419525
2008-11-08,6.2,10.1,213.153,171000.0,171957.40463474471,80224.06440444187
2008-11-15,6.14,10.1,213.153,175000.0,171957.40463474471,82100.65070630018
2008-11-22,6.04,10.1,213.153,173500.0,171957.40463474471,81396.93084310331
2008-12-06,5.53,10.1,211.398,170000.0,169302.8153160755,80417.03327373012
2008-12-13,5.47,10.1,211.398,172500.0,169302.8153160755,81599.63670422616
2008-12-20,5.19,10.1,211.398,172000.0,169302.8153160755,81363.11601812695
2009-01-03,5.1,10.1,211.933,169500.0,166607.29544189118,79978.10628830809
2009-01-10,5.01,10.1,211.933,167000.0,166607.29544189118,78798.4882014599
2009-01-17,4.96,10.1,211.933,168000.0,166607.29544189118,79270.33543619918
2009-01-24,5.12,10.1,211.933,165000.0,166607.29544189118,77854.79373198134
2009-01-31,5.1,10.1,211.933,169900.0,166607.29544189118,80166.84518220382
2009-02-07,5.25,10.1,212.705,163500.0,164651.05951884767,76867.02240191815
2009-02-14,5.16,10.1,212.705,164500.0,164651.05951884767,77337.15709550786
2009-02-21,5.04,10.1,212.705,167000.0,164651.05951884767,78512.49382948213
2009-02-28,5.07,10.1,212.705,170000.0,164651.05951884767,79922.89791025128
2009-03-07,5.15,10.1,212.495,165000.0,163589.68780522555,77648.88585613779
2009-03-14,5.03,10.1,212.495,167000.0,163589.68780522555,78590.08447257582
2009-03-21,4.98,10.1,212.495,169000.0,163589.68780522555,79531.28308901386
2009-03-28,4.85,10.1,212.495,165500.0,163589.68780522555,77884.1855102473
2009-04-04,4.78,10.6,212.709,167500.0,163053.09109198587,78746.0803257032
2009-04-11,4.87,10.6,212.709,165000.0,163053.09109198587,77570.76569397627
2009-04-18,4.82,10.6,212.709,165000.0,163053.09109198587,77570.76569397627
2009-04-25,4.8,10.6,212.709,165000.0,163053.09109198587,77570.76569397627
2009-05-02,4.78,10.6,212.709,171000.0,162972.35778009504,80391.52081012087
2009-05-09,4.84,10.6,213.022,168300.0,162972.35778009504,79005.9242707326
2009-05-16,4.86,10.6,213.022,170000.0,162972.35778009504,79803.96390983091
2009-05-23,4.82,10.6,213.022,170000.0,162972.35778009504,79803.96390983091
2009-05-30,4.91,10.6,213.022,176900.0,162972.35778009504,83043.0659744064
2009-06-06,5.29,10.6,214.79,175000.0,163147.25203493374,81474.92900041901
2009-06-13,5.59,10.6,214.79,175000.0,163147.25203493374,81474.92900041901
2009-06-20,5.38,10.6,214.79,180000.0,163147.25203493374,83802.7841147167
2009-06-27,5.42,10.6,214.79,180000.0,163147.25203493374,83802.7841147167
2009-07-04,5.32,11.1,214.726,182000.0,163362.5283523317,84759.1814684761
2009-07-11,5.2,11.1,214.726,175000.0,163362.5283523317,81499.2129504578
2009-07-18,5.14,11.1,214.726,179900.0,163362.5283523317,83781.1909130706
2009-07-25,5.2,11.1,214.726,175000.0,163362.5283523317,81499.2129504578
2009-08-01,5.25,11.1,214.726,180000.0,162824.05029143865,83827.76189189944
2009-08-08,5.22,11.1,215.445,176500.0,162824.05029143865,81923.4607440414
2009-08-15,5.29,11.1,215.445,179500.0,162824.05029143865,83315.92749889764
2009-08-22,5.12,11.1,215.445,177500.0,162824.05029143865,82387.61632899348
2009-08-29,5.14,11.1,215.445,177000.0,162824.05029143865,82155.53853651744
2009-09-05,5.08,11.1,215.861,172500.0,161952.38604633173,79912.53630808716
2009-09-12,5.07,11.1,215.861,170000.0,161952.38604633173,78754.38360796994
2009-09-19,5.04,11.1,215.861,171900.0,161952.38604633173,79634.57966005903
2009-09-26,5.04,11.1,215.861,170000.0,161952.38604633173,78754.38360796994
2009-10-03,4.94,10.7,216.509,170000.0,161089.37169487754,78518.67589799962
2009-10-10,4.87,10.7,216.509,166000.0,161089.37169487754,76671.1776415761
2009-10-17,4.92,10.7,216.509,168500.0,161089.37169487754,77825.8640518408
2009-10-24,5.0,10.7,216.509,168000.0,161089.37169487754,77594.92676978787
2009-10-31,5.03,10.7,216.509,168900.0,161089.37169487754,78010.61387748316
2009-11-07,4.98,10.7,217.234,169840.0,160339.5547491433,78182.97319940709
2009-11-14,4.91,10.7,217.234,165000.0,160339.5547491433,75954.96100978668
2009-11-21,4.83,10.7,217.234,168000.0,160339.5547491433,77335.9603008737
2009-12-05,4.71,10.7,217.347,165000.0,159236.96443188182,75915.4715731066
2009-12-12,4.81,10.7,217.347,170000.0,159236.96443188182,78215.94040865528
2009-12-19,4.94,10.7,217.347,172000.0,159236.96443188182,79136.12794287477
2009-12-26,5.05,10.7,217.347,170000.0,159236.96443188182,78215.94040865528
2010-01-02,5.14,10.7,217.347,170000.0,158006.9101874568,78215.94040865528
2010-01-09,5.09,10.6,217.488,170000.0,158006.9101874568,78165.2321047598
2010-01-16,5.06,10.6,217.488,172500.0,158006.9101874568,79314.72081218274
2010-01-23,4.99,10.6,217.488,168000.0,158006.9101874568,77245.64113882145
2010-01-30,4.98,10.6,217.488,170500.0,158006.9101874568,78395.1298462444
2010-02-06,5.01,10.6,217.281,165000.0,157218.82631851448,75938.53121073633
2010-02-13,4.97,10.6,217.281,160000.0,157218.82631851448,73637.36359828977
2010-02-20,4.93,10.6,217.281,165000.0,157218.82631851448,75938.53121073633
2010-02-27,5.05,10.6,217.281,169900.0,157218.82631851448,78193.67547093396
2010-03-06,4.97,10.6,217.353,167000.0,157445.31559174263,76833.53806940782
2010-03-13,4.95,10.6,217.353,167604.0,157445.31559174263,77111.4270334433
2010-03-20,4.96,10.6,217.353,180000.0,157445.31559174263,82814.59193109826
2010-03-27,4.99,10.6,217.353,166000.0,157445.31559174263,76373.45700312396
2010-04-03,5.08,10.6,217.403,170000.0,158351.90506786687,78195.79306633303
2010-04-10,5.21,10.6,217.403,165000.0,158351.90506786687,75895.91679967618
2010-04-17,5.07,10.6,217.403,166000.0,158351.90506786687,76355.89205300756
2010-04-24,5.07,10.6,217.403,165000.0,158351.90506786687,75895.91679967618
2010-05-01,5.06,10.6,217.403,167500.0,159236.73456512086,77045.85493300461
2010-05-08,5.0,10.6,217.29,170000.0,159236.73456512086,78236.45818951631
2010-05-15,4.93,10.6,217.29,168500.0,159236.73456512086,77546.13649960881
2010-05-22,4.84,10.6,217.29,169500.0,159236.73456512086,78006.35095954716
2010-05-29,4.78,10.6,217.29,174100.0,159236.73456512086,80123.33747526347
2010-06-05,4.79,10.6,217.199,170000.0,159834.72055757145,78269.23696702103
2010-06-12,4.72,10.6,217.199,172000.0,159834.72055757145,79190.0515195742
2010-06-19,4.75,10.6,217.199,175000.0,159834.72055757145,80571.27334840399
2010-06-26,4.69,10.6,217.199,179900.0,159834.72055757145,82827.2690021593
2010-07-03,4.58,10.3,217.605,180000.0,159956.74018508772,82718.68753015785
2010-07-10,4.57,10.3,217.605,177500.0,159956.74018508772,81569.81687001677
2010-07-17,4.57,10.3,217.605,185000.0,159956.74018508772,85016.42885044002
2010-07-24,4.56,10.3,217.605,180500.0,159956.74018508772,82948.46166218608
